"t"	"ball"	"platform"
0.000000000000000e+00	1.000000000000000e+01	0.000000000000000e+00
1.000000000000000e-02	9.999509499999940e+00	0.000000000000000e+00
1.999999999999999e-02	9.997956282676135e+00	0.000000000000000e+00
2.999999999999999e-02	9.995403699802900e+00	0.000000000000000e+00
3.999999999999999e-02	9.991854634055294e+00	0.000000000000000e+00
4.999999999999999e-02	9.987310927621534e+00	0.000000000000000e+00
5.999999999999998e-02	9.981773889064845e+00	0.000000000000000e+00
6.999999999999998e-02	9.975244509950723e+00	0.000000000000000e+00
7.999999999999997e-02	9.967723575303113e+00	0.000000000000000e+00
8.999999999999997e-02	9.959211726681703e+00	0.000000000000000e+00
9.999999999999996e-02	9.949709501190737e+00	0.000000000000000e+00
1.100000000000000e-01	9.939217357079025e+00	0.000000000000000e+00
1.200000000000000e-01	9.927735691332559e+00	0.000000000000000e+00
1.300000000000000e-01	9.915264852218218e+00	0.000000000000000e+00
1.400000000000000e-01	9.901805148501625e+00	0.000000000000000e+00
1.500000000000000e-01	9.887356856393691e+00	0.000000000000000e+00
1.600000000000000e-01	9.871920224898480e+00	0.000000000000000e+00
1.700000000000000e-01	9.855495480006439e+00	0.000000000000000e+00
1.800000000000000e-01	9.838082828035027e+00	0.000000000000000e+00
1.900000000000000e-01	9.819682458327453e+00	0.000000000000000e+00
2.000000000000000e-01	9.800294545459938e+00	0.000000000000000e+00
2.100000000000000e-01	9.779919251066866e+00	0.000000000000000e+00
2.200000000000000e-01	9.758556725364937e+00	0.000000000000000e+00
2.300000000000001e-01	9.736207108437245e+00	0.000000000000000e+00
2.400000000000001e-01	9.712870531323869e+00	0.000000000000000e+00
2.500000000000001e-01	9.688547116954856e+00	0.000000000000000e+00
2.600000000000001e-01	9.663236980953787e+00	0.000000000000000e+00
2.700000000000001e-01	9.636940232334087e+00	0.000000000000000e+00
2.800000000000000e-01	9.609656974105844e+00	0.000000000000000e+00
2.900000000000000e-01	9.581387303807388e+00	0.000000000000000e+00
3.000000000000000e-01	9.552131313973193e+00	0.000000000000000e+00
3.100000000000001e-01	9.521889092547651e+00	0.000000000000000e+00
3.200000000000001e-01	9.490660723252432e+00	0.000000000000000e+00
3.300000000000001e-01	9.458446285913976e+00	0.000000000000000e+00
3.400000000000001e-01	9.425245856756485e+00	0.000000000000000e+00
3.500000000000001e-01	9.391059508664972e+00	0.000000000000000e+00
3.600000000000001e-01	9.355890949117112e+00	0.000000000000000e+00
3.700000000000001e-01	9.319742615198258e+00	0.000000000000000e+00
3.800000000000001e-01	9.282614544471938e+00	0.000000000000000e+00
3.900000000000001e-01	9.244506774411885e+00	0.000000000000000e+00
4.000000000000001e-01	9.205419342410062e+00	0.000000000000000e+00
4.100000000000001e-01	9.165352285783788e+00	0.000000000000000e+00
4.200000000000002e-01	9.124305641782184e+00	0.000000000000000e+00
4.300000000000002e-01	9.082279447591960e+00	0.000000000000000e+00
4.400000000000001e-01	9.039273740342630e+00	0.000000000000000e+00
4.500000000000001e-01	8.995288557111323e+00	0.000000000000000e+00
4.600000000000001e-01	8.950323934927079e+00	0.000000000000000e+00
4.700000000000001e-01	8.904379910774754e+00	0.000000000000000e+00
4.800000000000001e-01	8.857456521598635e+00	0.000000000000000e+00
4.900000000000002e-01	8.809553804305635e+00	0.000000000000000e+00
5.000000000000001e-01	8.760671795768380e+00	0.000000000000000e+00
5.100000000000001e-01	8.710810532828100e+00	0.000000000000000e+00
5.200000000000001e-01	8.659970052296938e+00	0.000000000000000e+00
5.300000000000001e-01	8.608150390960461e+00	0.000000000000000e+00
5.400000000000001e-01	8.555351585579741e+00	0.000000000000000e+00
5.500000000000002e-01	8.501573672893505e+00	0.000000000000000e+00
5.600000000000002e-01	8.446816689619896e+00	0.000000000000000e+00
5.700000000000002e-01	8.391080672458219e+00	0.000000000000000e+00
5.800000000000002e-01	8.334365658090601e+00	0.000000000000000e+00
5.900000000000002e-01	8.276671683183483e+00	0.000000000000000e+00
6.000000000000002e-01	8.217998784389097e+00	0.000000000000000e+00
6.100000000000002e-01	8.158346998346715e+00	0.000000000000000e+00
6.200000000000002e-01	8.097716361683982e+00	0.000000000000000e+00
6.300000000000002e-01	8.036106911018022e+00	0.000000000000000e+00
6.400000000000002e-01	7.973518682956575e+00	0.000000000000000e+00
6.500000000000002e-01	7.909951714099068e+00	0.000000000000000e+00
6.600000000000003e-01	7.845406041037620e+00	0.000000000000000e+00
6.700000000000003e-01	7.779881700357930e+00	0.000000000000000e+00
6.800000000000003e-01	7.713378728640178e+00	0.000000000000000e+00
6.900000000000004e-01	7.645897162459955e+00	0.000000000000000e+00
