"t"	"car1"	"fly"	"car2"
0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.000000000000000e+02
7.692307692307742e-01	3.846153846153871e+01	6.153846153846193e+01	6.153846153846132e+01
9.467455621301837e-01	4.733727810650917e+01	4.733727810650917e+01	5.266272189349085e+01
9.877105143377350e-01	4.938552571688675e+01	5.061447428311328e+01	5.061447428311328e+01
9.971639648471700e-01	4.985819824235850e+01	4.985819824235848e+01	5.014180175764153e+01
9.993455303493473e-01	4.996727651746737e+01	5.003272348253267e+01	5.003272348253267e+01
9.998489685421573e-01	4.999244842710787e+01	4.999244842710787e+01	5.000755157289217e+01
9.999651465866520e-01	4.999825732933262e+01	5.000174267066744e+01	5.000174267066743e+01
9.999919569046142e-01	4.999959784523072e+01	4.999959784523047e+01	5.000040215476933e+01
9.999981439010669e-01	4.999990719505335e+01	5.000009280494669e+01	5.000009280494669e+01
9.999995716694772e-01	4.999997858347387e+01	4.999997858347387e+01	5.000002141652617e+01
9.999999011544951e-01	4.999999505772476e+01	5.000000494227530e+01	5.000000494227528e+01
9.999999771894992e-01	4.999999885947497e+01	4.999999885947496e+01	5.000000114052507e+01
9.999999947360385e-01	4.999999973680194e+01	5.000000026319810e+01	5.000000026319810e+01
9.999999987852398e-01	4.999999993926200e+01	4.999999993926200e+01	5.000000006073804e+01
9.999999997196709e-01	4.999999998598356e+01	5.000000001401649e+01	5.000000001401649e+01
9.999999999353087e-01	4.999999999676545e+01	4.999999999676545e+01	5.000000000323459e+01
9.999999999850713e-01	4.999999999925359e+01	5.000000000074646e+01	5.000000000074645e+01
9.999999999965550e-01	4.999999999982777e+01	4.999999999982776e+01	5.000000000017227e+01
9.999999999992051e-01	4.999999999996027e+01	5.000000000003977e+01	5.000000000003977e+01
9.999999999998166e-01	4.999999999999085e+01	4.999999999999085e+01	5.000000000000919e+01
9.999999999999577e-01	4.999999999999790e+01	5.000000000000214e+01	5.000000000000214e+01
9.999999999999903e-01	4.999999999999953e+01	4.999999999999953e+01	5.000000000000051e+01
9.999999999999980e-01	4.999999999999991e+01	5.000000000000014e+01	5.000000000000014e+01
9.999999999999998e-01	4.999999999999999e+01	4.999999999999999e+01	5.000000000000005e+01
1.000000000000000e+00	5.000000000000003e+01	5.000000000000004e+01	5.000000000000001e+01
1.000000000000004e+00	5.000000000000018e+01	4.999999999999979e+01	4.999999999999986e+01
1.000000000000022e+00	5.000000000000113e+01	5.000000000000130e+01	4.999999999999891e+01
1.000000000000102e+00	5.000000000000510e+01	4.999999999999494e+01	4.999999999999494e+01
1.000000000000441e+00	5.000000000002203e+01	5.000000000002203e+01	4.999999999997801e+01
1.000000000001908e+00	5.000000000009541e+01	4.999999999990463e+01	4.999999999990463e+01
1.000000000008267e+00	5.000000000041338e+01	5.000000000041338e+01	4.999999999958666e+01
1.000000000035825e+00	5.000000000179125e+01	4.999999999820879e+01	4.999999999820879e+01
1.000000000155240e+00	5.000000000776204e+01	5.000000000776205e+01	4.999999999223800e+01
1.000000000672716e+00	5.000000003363581e+01	4.999999996636402e+01	4.999999996636423e+01
1.000000002915112e+00	5.000000014575564e+01	5.000000014575573e+01	4.999999985424441e+01
1.000000012632172e+00	5.000000063160859e+01	4.999999936839100e+01	4.999999936839145e+01
1.000000054739425e+00	5.000000273697127e+01	5.000000273697128e+01	4.999999726302877e+01
1.000000237204188e+00	5.000001186020942e+01	4.999998813979023e+01	4.999998813979062e+01
1.000001027884828e+00	5.000005139424141e+01	5.000005139424141e+01	4.999994860575863e+01
1.000004454167587e+00	5.000022270837938e+01	4.999977729162066e+01	4.999977729162067e+01
1.000019301392883e+00	5.000096506964420e+01	5.000096506964437e+01	4.999903493035585e+01
1.000083639369167e+00	5.000418196845838e+01	4.999581803154167e+01	4.999581803154167e+01
1.000362437266391e+00	5.001812186331958e+01	5.001812186331959e+01	4.998187813668046e+01
1.001570561487695e+00	5.007852807438481e+01	4.992147192561524e+01	4.992147192561524e+01
1.006805766446681e+00	5.034028832233411e+01	5.034028832233412e+01	4.965971167766593e+01
1.029491654602287e+00	5.147458273011443e+01	4.852541726988561e+01	4.852541726988561e+01
1.127797169943248e+00	5.638985849716246e+01	5.638985849716246e+01	4.361014150283758e+01
1.553787736420744e+00	7.768938682103727e+01	2.231061317896277e+01	2.231061317896277e+01
2.000000000000000e+00	1.000000000000000e+02	5.800759426530317e+01	0.000000000000000e+00
