"t"	"air_fuel_ratio"	"speed"	"map"	"ego"	"throttle"	"fuel"
0.000000000000000e+00	6.849315068490000e-02	3.000000000000000e+02	5.890000000000000e-01	1.000000000000000e+00	1.000000000000000e+01	1.209028103945206e+00
1.000000000000000e-02	4.827260275165864e-01	3.000000000000000e+02	5.676516522061577e-01	1.000000000000000e+00	1.005000000000000e+01	1.172925163434122e+00
2.000000000000001e-02	8.851967808790546e-01	3.000000000000000e+02	5.489728535794761e-01	1.000000000000000e+00	1.010000000000000e+01	1.140884710893258e+00
3.000000000000001e-02	1.276268279452835e+00	3.000000000000000e+02	5.326362608274120e-01	1.000000000000000e+00	1.015000000000000e+01	1.112396555673357e+00
4.000000000000001e-02	1.656256600653301e+00	3.000000000000000e+02	5.183710351815947e-01	1.000000000000000e+00	1.020000000000000e+01	1.087272767478259e+00
5.000000000000002e-02	2.025440666829500e+00	3.000000000000000e+02	5.059421112240220e-01	1.000000000000000e+00	1.025000000000000e+01	1.065195955356000e+00
6.000000000000001e-02	2.384003376405032e+00	3.000000000000000e+02	4.951548456660675e-01	1.000000000000000e+00	1.030000000000000e+01	1.045843719862356e+00
7.000000000000001e-02	2.732443539169521e+00	3.000000000000000e+02	4.858228928608506e-01	1.000000000000000e+00	1.035000000000000e+01	1.028946488257536e+00
8.000000000000000e-02	3.070960056580072e+00	3.000000000000000e+02	4.778141915035615e-01	1.000000000000000e+00	1.040000000000000e+01	1.014369833979665e+00
9.000000000000000e-02	3.399821273799977e+00	3.000000000000000e+02	4.709996075811507e-01	1.000000000000000e+00	1.045000000000000e+01	1.001911174754159e+00
9.999999999999999e-02	3.719289590936633e+00	3.000000000000000e+02	4.652611467200140e-01	1.000000000000000e+00	1.050000000000000e+01	9.913796637475100e-01
1.100000000000000e-01	4.029621390722947e+00	3.000000000000000e+02	4.604913860687415e-01	1.000000000000000e+00	1.055000000000000e+01	9.825969789085802e-01
1.200000000000000e-01	4.331067066828098e+00	3.000000000000000e+02	4.565928346527999e-01	1.000000000000000e+00	1.060000000000000e+01	9.753976521379076e-01
1.300000000000000e-01	4.623871104512221e+00	3.000000000000000e+02	4.534772563068577e-01	1.000000000000000e+00	1.065000000000000e+01	9.696290463540015e-01
1.400000000000000e-01	4.908271861858183e+00	3.000000000000000e+02	4.510650069833377e-01	1.000000000000000e+00	1.070000000000000e+01	9.651511188546410e-01
1.500000000000000e-01	5.184500318285283e+00	3.000000000000000e+02	4.492844576566059e-01	1.000000000000000e+00	1.075000000000000e+01	9.618268289510604e-01
1.600000000000000e-01	5.452785866861215e+00	3.000000000000000e+02	4.480711848204172e-01	1.000000000000000e+00	1.080000000000000e+01	9.595427965740138e-01
1.700000000000000e-01	5.713351240459664e+00	3.000000000000000e+02	4.473673166932489e-01	1.000000000000000e+00	1.084999999999999e+01	9.582065144459325e-01
1.800000000000000e-01	5.966408138396943e+00	3.000000000000000e+02	4.471209383305393e-01	1.000000000000000e+00	1.090000000000000e+01	9.577216983385101e-01
1.900000000000001e-01	6.212163520067820e+00	3.000000000000000e+02	4.472855343268505e-01	1.000000000000000e+00	1.095000000000000e+01	9.580014418407182e-01
2.000000000000001e-01	6.450819638129913e+00	3.000000000000000e+02	4.478194711073679e-01	1.000000000000000e+00	1.100000000000000e+01	9.589674634243575e-01
2.100000000000001e-01	6.682574072406347e+00	3.000000000000000e+02	4.486855190263157e-01	1.000000000000000e+00	1.105000000000000e+01	9.605493758511561e-01
2.200000000000001e-01	6.907619765609255e+00	3.000000000000000e+02	4.498504136104425e-01	1.000000000000000e+00	1.110000000000000e+01	9.626839878631223e-01
2.300000000000001e-01	7.126145061862593e+00	3.000000000000000e+02	4.512844545874194e-01	1.000000000000000e+00	1.115000000000000e+01	9.652978531762235e-01
2.400000000000001e-01	7.338341054163150e+00	3.000000000000000e+02	4.529611440883169e-01	1.000000000000000e+00	1.120000000000000e+01	9.683517622913091e-01
2.500000000000001e-01	7.544388549346584e+00	3.000000000000000e+02	4.548568829225280e-01	1.000000000000000e+00	1.125000000000000e+01	9.718025815674493e-01
2.600000000000001e-01	7.744462763512560e+00	3.000000000000000e+02	4.569506407443355e-01	1.000000000000000e+00	1.130000000000000e+01	9.756100140087240e-01
2.700000000000001e-01	7.938734399743802e+00	3.000000000000000e+02	4.592236772767829e-01	1.000000000000000e+00	1.135000000000000e+01	9.797380537403145e-01
2.800000000000001e-01	8.127369724013260e+00	3.000000000000000e+02	4.616592996529509e-01	1.000000000000000e+00	1.140000000000000e+01	9.841545494626508e-01
2.900000000000001e-01	8.310530643316383e+00	3.000000000000000e+02	4.642426443011816e-01	1.000000000000000e+00	1.145000000000000e+01	9.888308072065870e-01
3.000000000000002e-01	8.488374786177843e+00	3.000000000000000e+02	4.669604811964542e-01	1.000000000000000e+00	1.150000000000000e+01	9.937412300807020e-01
3.100000000000002e-01	8.661055585611940e+00	3.000000000000000e+02	4.698010384205765e-01	1.000000000000000e+00	1.155000000000000e+01	9.988629925162923e-01
3.200000000000002e-01	8.828735309867852e+00	3.000000000000000e+02	4.727530733913323e-01	1.000000000000000e+00	1.160000000000000e+01	1.004174359179965e+00
3.300000000000002e-01	8.991544295359596e+00	3.000000000000000e+02	4.758082390179740e-01	1.000000000000000e+00	1.165000000000000e+01	1.009658932183972e+00
3.400000000000002e-01	9.149624116353870e+00	3.000000000000000e+02	4.789582269240774e-01	1.000000000000000e+00	1.170000000000000e+01	1.015300490364258e+00
